molecules_names,smiles_formats
mol109,Nc1nc(-c2cnc(C3CCNCC3)s2)cc([N+](=O)[O-])n1
mol73,CCCS(=O)(=O)C1(S(=O)(=O)CCC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol107,CCC(=O)Oc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol210,CCN(C)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol74,Nc1nccc(-c2cnc([C@H]3CCN[C@@](O)(Oc4ccccc4)C3)s2)n1
mol100,CCSc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol217,CCCNc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol222,Nc1nc(-c2cnc(C3CCNCC3)s2)c(S)c([N+](=O)[O-])n1
mol90,CN(C)c1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol135,C[C@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol41,N#C[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol2735,C[C@H]1NCC[C@@H](c2ncc(-c3nc(N)nc(C=O)c3S)s2)[C@@H]1C1CC1
mol6,C[C@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol149,Nc1nc(-c2cnc([C@@H]3CCN[C@@H](C4CC4)C3)s2)cc([N+](=O)[O-])n1
mol301,CCO[C@@H]1C[C@@H](c2ncc(-c3nc(N)nc([N+](=O)[O-])c3OC)s2)[C@H](C)[C@@H](C)N1
mol1,CC(C)(C)[C@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol259,C[C@H]1CN[C@H](C(=O)O)C[C@H]1c1ncc(-c2cc(C#N)nc(N)n2)s1
mol288,CCC1(CC)CNCC[C@H]1c1ncc(-c2nc(N)ncc2O)s1
mol225,CCCSc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol97,Nc1ncc(O)c(-c2cnc(C3CCNCC3)s2)n1
mol132,CCCCC1(CCCC)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol46,Nc1nccc(-c2cnc([C@H]3CCN[C@@H]([N+](=O)[O-])C3)s2)n1
mol257,CCO[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)CN1
mol191,CCS(=O)(=O)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol140,CCCC1(CCC)CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol34,CCCC1(CCC)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol286,CCCCC1(CCCC)CNCC[C@H]1c1ncc(-c2nc(N)ncc2OC)s1
mol99,CSc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol48,CS[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol8,CCC[C@@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol196,Nc1nc(-c2cnc([C@H]3CCN[C@@](F)(S(=O)(=O)c4ccccc4)C3)s2)cc([N+](=O)[O-])n1
mol147,CC(C)C1(C(C)C)C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol33,CCC1(CC)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol281,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2C[C@H](I)N[C@H](C)[C@H]2C2CC2)s1
